Student,LPIPS,SSIM
113590022.png,0.0,1.0
113590052.png,0.21854594349861145,0.6933224272339599
113590039.png,0.2338991016149521,0.6996869874736008
113590040.png,0.23888704180717468,0.663494041198645
113590033.png,0.2418643832206726,0.6696162857198141
113590051.png,0.25707754492759705,0.7193664633166461
113590021.png,0.2595500946044922,0.6699039212680967
113370239.png,0.27204471826553345,0.69197045607142
111590047.png,0.2888885736465454,0.6575673951837742
113590001.png,0.2915661036968231,0.6220824193087834
113590050.png,0.2938585877418518,0.6002059852799172
113590031.png,0.3005155920982361,0.6797381127821667
112590452.png,0.3014383912086487,0.6289894031700378
113590045.png,0.3039589822292328,0.6276031645278183
111590062.png,0.30510425567626953,0.6552280482268599
113AB0018.png,0.30756399035453796,0.6413641145050634
110590455.png,0.3079245686531067,0.7173606394849703
113590061.png,0.3150511682033539,0.6823425259499944
113590056.png,0.32048261165618896,0.6440401625031381
111590028.png,0.32608848810195923,0.7148005772019748
113590044.png,0.3298984467983246,0.6148619512631874
113590026.png,0.3306441009044647,0.643968228756774
113AC1012.png,0.3344450294971466,0.6473292706990812
112590040.png,0.33544063568115234,0.6581906775355592
112590454.png,0.3359445333480835,0.6107028833264517
113590060.png,0.3403886556625366,0.678986601221755
113590003.png,0.3435368537902832,0.6269921477223953
113590015.png,0.3463978171348572,0.6201311736894048
113590036.png,0.3474283218383789,0.6297838459556696
113590018.png,0.35223937034606934,0.5967855348696633
113590023.png,0.3601747453212738,0.5889680963960928
112590455.png,0.3638343811035156,0.6038986870282754
113590002.png,0.36576026678085327,0.6189060751586944
113590028.png,0.37307724356651306,0.5430227680777848
113590032.png,0.3775746524333954,0.6557644580285155
113590011.png,0.3997478485107422,0.5567694416667512
113590047.png,0.40674400329589844,0.6750610597284763
113590006.png,0.4092133343219757,0.5214553610236375
113590057.png,0.4162823557853699,0.5719377487714072
113590059.png,0.4182024300098419,0.514731221777477
113590042.png,0.4279150664806366,0.5666917674464489
113590004.png,0.43259352445602417,0.6834334148178857
113590010.png,0.4432687759399414,0.5504035911453682
113590043.png,0.44413381814956665,0.7019181355160021
113590025.png,0.4515332281589508,0.693151868265583
111590042.png,0.4775678217411041,0.7039956288890569
113590049.png,0.47870850563049316,0.49324536861113655
111590455.png,0.5265436768531799,0.4888880314043126
112590058.jpg,0.5363361835479736,0.420929258440644
113590008.png,0.5364673137664795,0.464717791809774
